Category ID,OnBuy Category Path
10128,"Arts, Crafts & Sewing > Art Studio Furniture > Sewing Furniture > Sewing Cabinets"
10126,"Arts, Crafts & Sewing > Art Studio Furniture > Storage & Display > Art Drying Racks"
10127,"Arts, Crafts & Sewing > Art Studio Furniture > Storage & Display > Art Print Racks"
10124,"Arts, Crafts & Sewing > Art Studio Furniture > Storage & Display > Studio Taborets"
10122,"Arts, Crafts & Sewing > Art Studio Furniture > Work Surfaces & Support > Drawing Boards & Tables"
10123,"Arts, Crafts & Sewing > Art Studio Furniture > Work Surfaces & Support > Easels"
9872,"Arts, Crafts & Sewing > Beading & Jewellery Making > Display & Storage > Jewellery Display Stands"
9862,"Arts, Crafts & Sewing > Beading & Jewellery Making > Kits & Sets > Beading Kits"
9866,"Arts, Crafts & Sewing > Beading & Jewellery Making > Kits & Sets > Jewellery Making Kits"
9860,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Bead Looms"
9861,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Beading Cords & Threads"
9865,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Cabochons"
9868,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Craft Chain & Wire"
9869,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Craft Charms & Pendants"
9859,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Jewellery Beads"
9870,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Jewellery Findings"
18221,"Arts, Crafts & Sewing > Beading & Jewellery Making > Materials & Components > Metal Stamping"
9863,"Arts, Crafts & Sewing > Beading & Jewellery Making > Tools & Equipment > Beading Tools"
9871,"Arts, Crafts & Sewing > Beading & Jewellery Making > Tools & Equipment > Jewellery Engraving Tools"
9867,"Arts, Crafts & Sewing > Beading & Jewellery Making > Tools & Equipment > Jewellery Making Tools"
9873,"Arts, Crafts & Sewing > Beading & Jewellery Making > Tools & Equipment > Jewellery Polishing & Buffing Tools"
9884,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Bisqueware"
9885,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Ceramic & Pottery Glazes"
9889,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Ceramic Decals"
18222,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Ceramic Paint"
9887,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Clay Extruders, Mixers & Presses"
9888,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Clay Moulds"
9886,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Materials & Components > Pottery Clay"
9882,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Tools & Equipment > Pottery Kilns & Firing Accessories"
9881,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Tools & Equipment > Pottery Wheels & Accessories"
9883,"Arts, Crafts & Sewing > Ceramic & Pottery Making > Ceramic & Pottery Tools & Equipment > Sculpting Tools"
18208,"Arts, Crafts & Sewing > Drawing Supplies > Calligraphy & Lettering > Calligraphy Ink"
18207,"Arts, Crafts & Sewing > Drawing Supplies > Calligraphy & Lettering > Calligraphy Nibs"
18206,"Arts, Crafts & Sewing > Drawing Supplies > Calligraphy & Lettering > Calligraphy Pens"
9829,"Arts, Crafts & Sewing > Drawing Supplies > Calligraphy & Lettering > Calligraphy Sets"
18205,"Arts, Crafts & Sewing > Drawing Supplies > Calligraphy & Lettering > Chinese Calligraphy Brushes"
18210,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Adult Colouring Books"
9836,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Charcoal"
9837,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Crayons"
9826,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Drawing Sets"
9832,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Fixatives"
9839,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Markers"
9840,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Art Pastels"
9838,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Drawing Ink"
16139,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Drawing Pencils"
18203,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Drawing Pens"
10093,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Media > Sketchbooks"
9827,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Art Blenders"
9831,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Art Pencil Sharpeners"
9833,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Art Projectors & Light Boxes"
18209,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Drawing Erasers"
9834,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Drawing Mannequin"
9828,"Arts, Crafts & Sewing > Drawing Supplies > Drawing Tools > Drawing Tools"
9845,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Application & Transfers > Fabric Decorating Kits"
9843,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Application & Transfers > Fabric Paints"
9848,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Application & Transfers > Fabric Waxes"
9844,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Application & Transfers > Transfer Papers"
9842,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Treatments & Enhancements > Fabric Dyes"
9846,"Arts, Crafts & Sewing > Fabric Painting & Decorating Supplies > Fabric Treatments & Enhancements > Fabric Fixatives"
18223,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Dyes & Finishes > Leather Dye"
18224,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Dyes & Finishes > Leather Glue"
9984,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Dyes & Finishes > Leather Treatments & Paints"
10406,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Hardware > Leathercraft Conchos & Rings"
10407,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Hardware > Leathercraft Studs, Rivets & Tacks"
11716,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Kits & Tools > Leathercraft Kits"
9985,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Kits & Tools > Leathercraft Lacing Needles"
11715,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Kits & Tools > Leathercraft Tools"
9987,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Leather > Leather Cord"
9988,"Arts, Crafts & Sewing > Leatherwork Supplies > Leatherwork Leather > Leather Strips"
10042,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Completed Embroidery Pieces"
10049,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Crewel Embroidery Kits"
12831,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Cross Stitch Fabric"
10047,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Cross Stitch Kits"
10052,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Hoops"
10039,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machine Bobbins"
10038,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machine Hoops"
10035,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machine Needles"
10036,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machine Parts"
10040,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machine Stabilisers"
10033,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Machines"
10041,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Patterns"
10053,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Embroidery Stitch Markers"
10046,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Hardanger Embroidery Kits"
10048,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Needlepoint & Tapestry Kits"
10050,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Punch Needle Embroidery Kits"
10051,"Arts, Crafts & Sewing > Needlecraft Supplies > Embroidery & Cross Stitch > Ribbon Embroidery Kits"
10004,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Crochet Cotton"
8070,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Crochet Hooks"
10002,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Crochet Kits"
18226,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Crochet Patterns"
10008,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Knitting & Crochet Haberdashery"
10005,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Knitting Boards & Looms"
10003,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Knitting Kits"
8069,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Knitting Needles"
10006,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Knitting Patterns"
10030,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Lace-Making Supplies"
10009,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Machine Knitting Supplies"
10026,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Rug Making Kits"
18225,"Arts, Crafts & Sewing > Needlecraft Supplies > Knitting & Crochet Supplies > Tatting"
18227,"Arts, Crafts & Sewing > Needlecraft Supplies > Macrame > Macrame Cords"
18228,"Arts, Crafts & Sewing > Needlecraft Supplies > Macrame > Macrame Patterns"
